epoch,MSE
"0, 0.49399430698759206"
"1, 0.4929280097710017"
"2, 0.4868805948942888"
"3, 0.4839845619251328"
"4, 0.4774405909385371"
"5, 0.46934852274550215"
"6, 0.4653065089009447"
"7, 0.4617312291305547"
"8, 0.4600821986808076"
"9, 0.45849676421233293"
"10, 0.45738897576881343"
"11, 0.45653100205136654"
"12, 0.45575032804832916"
"13, 0.4554440236050576"
"14, 0.4550905865755342"
"15, 0.4545044692456628"
"16, 0.45412283916426066"
"17, 0.45406131036292874"
"18, 0.45392277562865607"
"19, 0.45348443427051155"
"20, 0.4534953979244379"
"21, 0.453315082024163"
"22, 0.4532730929664507"
"23, 0.45321289214677235"
"24, 0.4530621190528175"
"25, 0.4528984085126069"
"26, 0.45285191608057423"
"27, 0.4526493569305128"
"28, 0.45272877644733645"
"29, 0.4525463309555409"
"30, 0.45227197423239884"
"31, 0.45248823916551284"
"32, 0.4522310701311709"
"33, 0.45229019196355097"
"34, 0.45204237920166934"
"35, 0.45200138109986016"
"36, 0.4519916896514857"
"37, 0.45171035786513364"
"38, 0.45165052588850846"
"39, 0.4514678243165687"
"40, 0.4512782190537602"
"41, 0.45083328899149566"
"42, 0.4506736246367551"
"43, 0.45031389697298546"
"44, 0.44991786595143995"
"45, 0.44897372116587764"
"46, 0.448031420867914"
"47, 0.44610392933661336"
"48, 0.4427343149235892"
"49, 0.43704169749414806"
