epoch,MSE
"0, 0.12937794975003644"
"1, 0.050485819373801526"
"2, 0.037205077133441074"
"3, 0.030487359328092243"
"4, 0.025183188324883567"
"5, 0.02163037494352187"
"6, 0.01893806727814024"
"7, 0.01656455916153865"
"8, 0.014433418855763146"
"9, 0.012931810157010616"
"10, 0.011162010749897495"
"11, 0.010007521779600112"
"12, 0.009289646975853069"
"13, 0.008380183117835113"
"14, 0.007608117147264471"
"15, 0.006949276321817669"
"16, 0.006466363613824916"
"17, 0.005873214656479872"
"18, 0.005398267125910182"
"19, 0.005082048896663284"
"20, 0.004730948909300941"
"21, 0.004506210667035347"
"22, 0.004379938735769702"
"23, 0.004255297055661555"
"24, 0.004164778509119416"
"25, 0.004084290266004715"
"26, 0.004002823942824917"
"27, 0.0038791740239224617"
"28, 0.003800475990407191"
"29, 0.003793893431758986"
"30, 0.0036855748583735156"
"31, 0.0036342416802024927"
"32, 0.003573196173120591"
"33, 0.003517079402852457"
"34, 0.0034513395173104747"
"35, 0.003412071426765712"
"36, 0.0033480673991897613"
"37, 0.0033484257302542355"
"38, 0.0032964227911049474"
"39, 0.003228233009128974"
"40, 0.0032122043490469356"
"41, 0.0031962987407687937"
"42, 0.003181381609557254"
"43, 0.0031504880869833362"
"44, 0.0031323085611115738"
"45, 0.003089606182540019"
"46, 0.0030395042037215667"
"47, 0.003029187039642933"
"48, 0.00297657602746189"
"49, 0.002955137493762709"
