epoch,MSE
"0, 0.10045037645932754"
"1, 0.04990156765099596"
"2, 0.03817151290116184"
"3, 0.031136418258188744"
"4, 0.026660551900628115"
"5, 0.023341363827883838"
"6, 0.020691933187769372"
"7, 0.01862102002562952"
"8, 0.017001695833404357"
"9, 0.015681082917772718"
"10, 0.014156026592329236"
"11, 0.013005934482230636"
"12, 0.012119929285844851"
"13, 0.011200710239569365"
"14, 0.010332521341079797"
"15, 0.00962576141199381"
"16, 0.008886201323395085"
"17, 0.008493575177875103"
"18, 0.007948753447976081"
"19, 0.007453233950728106"
"20, 0.006848707647582477"
"21, 0.006586758141469541"
"22, 0.006180671112665628"
"23, 0.0058768626307851195"
"24, 0.005515965022711423"
"25, 0.005240547545817916"
"26, 0.005035965597529682"
"27, 0.0049228584644385375"
"28, 0.004669972749140986"
"29, 0.004484933366345002"
"30, 0.004361589555703887"
"31, 0.004247772129829835"
"32, 0.004149936740686288"
"33, 0.00404697591027686"
"34, 0.003960428305574358"
"35, 0.0039052289355178404"
"36, 0.003861182525722374"
"37, 0.0037881539644120383"
"38, 0.0037499881076323797"
"39, 0.0036795930179796045"
"40, 0.003658836285182001"
"41, 0.0035981864564298654"
"42, 0.003553547119174878"
"43, 0.0034839851213561966"
"44, 0.003418777943975645"
"45, 0.0033618626286562267"
"46, 0.0033265593751640623"
"47, 0.0032838713365846255"
"48, 0.0032594722693187698"
"49, 0.0032294410994634475"
