epoch,MSE
0, 0.10522763875607734
1, 0.05218144405222254
2, 0.03957521194021399
3, 0.03265877024155947
4, 0.027721241482310123
5, 0.024449626597677132
6, 0.02196743562187193
7, 0.01968435965592198
8, 0.018005031510606964
9, 0.016382474879852664
10, 0.01501701082760556
11, 0.01384764875475856
12, 0.012731544187860456
13, 0.011876689598856996
14, 0.01105859835589543
15, 0.010417571388456627
16, 0.0097350342607472
17, 0.009070207940287641
18, 0.008501271284221087
19, 0.007986809506562241
20, 0.007509618638160407
21, 0.007124371694082548
22, 0.006679168202090561
23, 0.006384450002435596
24, 0.006016700718900528
25, 0.005712122408203762
26, 0.005459385260073927
27, 0.00526723338548004
28, 0.005011133161285666
29, 0.004788857834720238
30, 0.004622132339126698
31, 0.004488938784722789
32, 0.00441566483162576
33, 0.004220866226636385
34, 0.004130714634842709
35, 0.003983978257584954
36, 0.003917596562470944
37, 0.0038066805516588226
38, 0.0037633754274761324
39, 0.003662236177970141
40, 0.003595517149148165
41, 0.0035225726336412812
42, 0.00345836230589349
43, 0.0034013431030546796
44, 0.003355649259324813
45, 0.0033038534455483584
46, 0.003248012183097875
47, 0.0032101778757974517
48, 0.0031634786533809318
49, 0.003130409888713946
