epoch,MSE
"0, 0.08778412652010868"
"1, 0.03631329683574969"
"2, 0.028013572697998954"
"3, 0.022906376152062407"
"4, 0.019635131934673856"
"5, 0.01731399084628024"
"6, 0.015313565360577795"
"7, 0.013985681612110445"
"8, 0.012722937568539313"
"9, 0.011643894430147324"
"10, 0.01067166135021934"
"11, 0.009797806687690168"
"12, 0.008958722988934062"
"13, 0.008256453094273114"
"14, 0.007647004963658305"
"15, 0.0071395116996015254"
"16, 0.0068301826987589645"
"17, 0.006262970441117097"
"18, 0.005761841883601519"
"19, 0.0055302652978369525"
"20, 0.005110796991738709"
"21, 0.004922568975917718"
"22, 0.004572397632563413"
"23, 0.004268829637660725"
"24, 0.004005114370711806"
"25, 0.00392080957313336"
"26, 0.0037937804757072007"
"27, 0.003739275954699645"
"28, 0.0036474522890427986"
"29, 0.0034426336528602113"
"30, 0.003354733119049636"
"31, 0.0032502274929749097"
"32, 0.0032387342426910518"
"33, 0.003135513200260374"
"34, 0.003075045169761993"
"35, 0.0030226424354342263"
"36, 0.003001080597061194"
"37, 0.002979499855328597"
"38, 0.002957217643753634"
"39, 0.002914567674741949"
"40, 0.0028975702050547383"
"41, 0.0028739278747161212"
"42, 0.0028638646011111425"
"43, 0.0028518895622835407"
"44, 0.002837969049579173"
"45, 0.0028187767556001318"
"46, 0.0028101873191691716"
"47, 0.002784844984415735"
"48, 0.002784634118469763"
