epoch,MSE
0, 0.0858621968264003
1, 0.04365505925792959
2, 0.03491507045872829
3, 0.03020366241184981
4, 0.026798014971262312
5, 0.024175519188387375
6, 0.022726171807901194
7, 0.020870646886042274
8, 0.019564775805709804
9, 0.018412228555647146
10, 0.016806083200118848
11, 0.016147475074756452
12, 0.015318931990548167
13, 0.014307395067803865
14, 0.013500175355107497
15, 0.01321810078996512
16, 0.012488696646133312
17, 0.012124405926116981
18, 0.011563985751383019
19, 0.01084126505614716
20, 0.010360394937658333
21, 0.009964853882377563
22, 0.00964737349824342
23, 0.009271077692757422
24, 0.009143785529311138
25, 0.008599285707027074
26, 0.008113706489857852
27, 0.007960858372727371
28, 0.007628421865110437
29, 0.007393113107587517
30, 0.007182208563454968
31, 0.00682685015380354
32, 0.006596471735731551
33, 0.006357481316094683
34, 0.006163998566473903
35, 0.006135116208056045
36, 0.006040722627076317
37, 0.005788200825708563
38, 0.005590501897173131
39, 0.005420500957112546
40, 0.00522703988285334
41, 0.005206364625781839
42, 0.005062139332778892
43, 0.005004285492882174
44, 0.004847572332538159
45, 0.004766536741943705
46, 0.004719620666525783
47, 0.004638460548616985
48, 0.0046067502567822315
49, 0.0045711742372321375
