epoch,MSE
"0, 0.09588101107307244"
"1, 0.03950381024450227"
"2, 0.030357872638313754"
"3, 0.02469947472992315"
"4, 0.021486955886440836"
"5, 0.018829805862279413"
"6, 0.016610666248530647"
"7, 0.014723897410373561"
"8, 0.013412982758274364"
"9, 0.012315921198351702"
"10, 0.011074761865162751"
"11, 0.009998206324065534"
"12, 0.009501042594304029"
"13, 0.008778581907059888"
"14, 0.007795070733386304"
"15, 0.0073418952624221484"
"16, 0.006740136428506563"
"17, 0.006334442339522478"
"18, 0.005924695773344068"
"19, 0.005622856526937142"
"20, 0.005279673359179451"
"21, 0.005045881143023668"
"22, 0.004579670852565756"
"23, 0.004453143555097475"
"24, 0.004306513807203672"
"25, 0.00406325331187029"
"26, 0.0038947666192523547"
"27, 0.0038004570859732066"
"28, 0.003709757887978243"
"29, 0.0035850714154672956"
"30, 0.0035144994395910315"
"31, 0.003497590634454928"
"32, 0.003438226840803131"
"33, 0.0033928279154692535"
"34, 0.0033461412981709055"
"35, 0.003322737570990774"
"36, 0.0033077289689973327"
"37, 0.0032771323633154262"
"38, 0.003246793112541724"
"39, 0.003195089372340929"
"40, 0.0031955210222453004"
