epoch,MSE
"0, 0.09930555118300283"
"1, 0.040225848366938884"
"2, 0.030409173749350208"
"3, 0.025084986119191237"
"4, 0.02162982743382571"
"5, 0.019220545231782824"
"6, 0.016915282510062354"
"7, 0.015275566018132531"
"8, 0.013466542293126047"
"9, 0.0122688383730148"
"10, 0.011458071219807141"
"11, 0.010282623420209625"
"12, 0.009237171111224709"
"13, 0.008714987671665139"
"14, 0.007956191186530712"
"15, 0.007620068540038973"
"16, 0.00707538145776405"
"17, 0.006531523481024283"
"18, 0.006074873743914125"
"19, 0.005603257760409427"
"20, 0.005231979455526972"
"21, 0.005087622203447342"
"22, 0.004763342407997304"
"23, 0.004546081655252324"
"24, 0.004299039159659095"
"25, 0.004198961868736746"
"26, 0.004095668602371048"
"27, 0.003960690780616691"
"28, 0.003868022466378174"
"29, 0.0037932898662982792"
"30, 0.003718046527597167"
"31, 0.0036881751936136257"
"32, 0.003603162272912929"
"33, 0.0035176428388771466"
"34, 0.003479351402323409"
"35, 0.0034179294208528535"
"36, 0.003391761902208485"
"37, 0.00347590207377586"
"38, 0.0033666410477644895"
"39, 0.0032879032468859995"
"40, 0.0032078723115104048"
"41, 0.0032031142344002366"
"42, 0.0031936026383876876"
"43, 0.0031964388960342965"
"44, 0.0031542521514154086"
"45, 0.003125275040927046"
"46, 0.003081667079760517"
"47, 0.0030638441799604164"
"48, 0.003060610128403201"
"49, 0.003039689847806726"
