epoch,MSE
"0, 0.07950188828403794"
"1, 0.041279857587663664"
"2, 0.03416336409738229"
"3, 0.029604829170010564"
"4, 0.026518216194288676"
"5, 0.023935631460497268"
"6, 0.022331199816611153"
"7, 0.020700385206153294"
"8, 0.019575215997089213"
"9, 0.018317061174695424"
"10, 0.017522566996567193"
"11, 0.016774634667734847"
"12, 0.01575747646835087"
"13, 0.015027251122007371"
"14, 0.014635921131450114"
"15, 0.013974770119534612"
"16, 0.013321041377160874"
"17, 0.012847597589520551"
"18, 0.012222260706832303"
"19, 0.011938262649840239"
"20, 0.011311196351631548"
"21, 0.011041487113694255"
"22, 0.010600750791015023"
"23, 0.010150735713391463"
"24, 0.009972711894214361"
"25, 0.009688916569712276"
"26, 0.009355360805738783"
"27, 0.00900748324576094"
"28, 0.008878779623142577"
"29, 0.0087503912850036"
"30, 0.008572864173878215"
"31, 0.00820627536753864"
"32, 0.007883487738781713"
"33, 0.007566074670282257"
"34, 0.00764742645195984"
"35, 0.007317961315342531"
"36, 0.006898916555558907"
"37, 0.006960410995785407"
"38, 0.00681709705585809"
"39, 0.00659851553878703"
"40, 0.006450410688685355"
"41, 0.006340052321111369"
"42, 0.0060565233778116494"
"43, 0.0060402243792968685"
"44, 0.006087390834668775"
"45, 0.005903839023310209"
"46, 0.0058801053401600365"
"47, 0.005678945037421773"
"48, 0.005545367927100418"
"49, 0.005405376983225975"
